hotel_id,reco_hotel_id,rank
77047,6721612,6
77047,5458786,7
77047,2091454,8
77047,6770464,9
77047,5262487,10
77083,1382119,1
77083,756448,2
77083,2097844,3
77083,631852,4
77083,2058361,5
77083,3693778,6
77083,6665074,7
77083,1062277,8
77083,4906141,9
77083,5329744,10
77272,5225515,1
77272,3108013,2
77272,76714,3
77272,5305489,4
77272,4798411,5
77272,1691530,6
77272,5319205,7
77272,4785415,8
77272,1333636,9
77272,3851935,10
79099,4768738,1
79099,725947,2
79099,155743,3
79099,423475,4
79099,156067,5
79099,4768180,6
79099,6777331,7
79099,6725896,8
79099,440062,9
79099,465010,10
79198,213073,1
79198,401443,2
79198,4758487,3
79198,253447,4
79198,570760,5
79198,709882,6
79198,4766623,7
79198,92392,8
79198,5228962,9
79198,2097349,10
79297,6719704,1
79297,3478165,2
79297,1619377,3
79297,395683,4
79297,3695218,5
79297,5226829,6
79297,5285518,7
79297,5225830,8
79297,4764625,9
79297,6665317,10
81376,213073,1
81376,401443,2
81376,4758487,3
81376,253447,4
81376,570760,5
81376,709882,6
81376,4766623,7
81376,92392,8
81376,5228962,9
81376,2097349,10
82024,5304076,1
82024,1548277,2
82024,3849982,3
82024,3850054,4
82024,1579273,5
82024,1271590,6
82024,1593187,7
82024,6771472,8
82024,3829606,9
82024,3850243,10
82150,1382119,1
82150,756448,2
82150,2097844,3
82150,631852,4
82150,2058361,5
82150,3693778,6
82150,6665074,7
82150,1062277,8
82150,4906141,9
82150,5329744,10
89737,4758865,1
89737,642841,2
89737,3153607,3
89737,6761779,4
89737,6778762,5
89737,5781571,6
89737,1578481,7
89737,303649,8
89737,153565,9
89737,473578,10
90403,5267194,1
90403,1277647,2
90403,405007,3
90403,6745183,4
90403,3881941,5
90403,3836311,6
90403,6785017,7
90403,6711415,8
90403,4756237,9
90403,5318278,10
91645,720394,1
91645,401488,2
91645,3869215,3
91645,4766929,4
91645,5267878,5
91645,6730324,6
91645,2091301,7
91645,5049421,8
91645,10654972,9
91645,4761196,10
91753,213073,1
91753,401443,2
91753,4758487,3
91753,253447,4
91753,570760,5
91753,709882,6
91753,4766623,7
91753,92392,8
91753,5228962,9
91753,2097349,10
92356,2808808,1
92356,609253,2
92356,2096008,3
92356,4765444,4
92356,6786916,5
92356,2092030,6
92356,401740,7
92356,2963851,8
92356,3469822,9
92356,6664372,10
92392,213073,1
92392,401443,2
92392,4758487,3
92392,253447,4
92392,570760,5
92392,709882,6
92392,4766623,7
92392,3757192,8
92392,5228962,9
92392,2097349,10
93022,1996315,1
93022,520387,2
93022,6719551,3
93022,6785674,4
93022,3850090,5
93022,3855760,6
93022,6751006,7
93022,6717454,8
93022,5226136,9
93022,6658432,10
93139,5227738,1
93139,4769323,2
93139,3850612,3
93139,2101507,4
93139,409885,5
93139,534202,6
93139,5324056,7
93139,3869584,8
93139,4763491,9
93139,4757380,10
93391,2100148,1
93391,5287561,2
93391,2100157,3
93391,2100283,4
93391,3080203,5
93391,2100247,6
93391,5260327,7
93391,2100184,8
93391,3862105,9
93391,2100220,10
93553,806029,1
93553,2728663,2
93553,10654585,3
93553,5290126,4
93553,5288506,5
93553,6770797,6
93553,3852925,7
93553,401767,8
93553,421882,9
93553,2726413,10
94570,4758865,1
94570,642841,2
94570,3153607,3
94570,6761779,4
94570,6778762,5
94570,5781571,6
94570,1578481,7
94570,303649,8
94570,153565,9
94570,473578,10
94813,5304301,1
94813,401416,2
94813,252745,3
94813,6758998,4
94813,1707019,5
94813,522925,6
94813,252772,7
94813,5293609,8
94813,252700,9
94813,571390,10
95002,213073,1
95002,401443,2
95002,4758487,3
95002,253447,4
95002,570760,5
95002,709882,6
95002,4766623,7
95002,92392,8
95002,5228962,9
95002,2097349,10
95911,4799176,1
95911,3869737,2
95911,3470965,3
95911,10660957,4
95911,2950000,5
95911,4766380,6
95911,10660390,7
95911,5306668,8
95911,4834600,9
95911,4765507,10
98719,5304238,1
98719,4930234,2
98719,4763428,3
98719,4756066,4
98719,385243,5
98719,1463479,6
98719,6713566,7
98719,1953394,8
98719,6675190,9
98719,2786893,10
98737,6694630,1
98737,3879520,2
98737,6705853,3
98737,6702451,4
98737,6737884,5
98737,6779878,6
98737,5164828,7
98737,402307,8
98737,6745579,9
98737,10657420,10
124549,5304076,1
124549,1548277,2
124549,3849982,3
124549,3850054,4
124549,1579273,5
124549,1271590,6
124549,1593187,7
124549,6771472,8
124549,3829606,9
124549,3850243,10
124720,5227783,1
124720,606571,2
124720,612691,3
124720,600280,4
124720,1033234,5
124720,563542,6
124720,6764119,7
124720,5228080,8
124720,6781840,9
124720,597679,10
131299,806029,1
131299,2728663,2
131299,10654585,3
131299,5290126,4
131299,5288506,5
131299,6770797,6
131299,3852925,7
131299,401767,8
131299,421882,9
131299,2726413,10
152845,5225515,1
152845,3108013,2
152845,76714,3
152845,5305489,4
152845,4798411,5
152845,1691530,6
152845,5319205,7
152845,4785415,8
152845,1333636,9
152845,3851935,10
152971,5262469,1
152971,1662298,2
152971,402226,3
152971,1626559,4
152971,646576,5
152971,6678925,6
152971,390958,7
152971,3745186,8
152971,6775594,9
152971,5303293,10
153169,5304076,1
153169,1548277,2
153169,3849982,3
153169,3850054,4
153169,1579273,5
153169,1271590,6
153169,1593187,7
153169,6771472,8
153169,3829606,9
153169,3850243,10
153538,4768738,1
153538,725947,2
153538,155743,3
153538,423475,4
153538,156067,5
153538,4768180,6
153538,6777331,7
153538,6725896,8
153538,440062,9
153538,465010,10
153565,4758865,1
153565,642841,2
153565,3153607,3
153565,6761779,4
153565,6778762,5
153565,5781571,6
153565,1869208,7
153565,1578481,8
153565,303649,9
153565,473578,10
153637,806029,1
153637,2728663,2
153637,10654585,3
153637,5290126,4
153637,5288506,5
153637,6770797,6
153637,3852925,7
153637,401767,8
153637,421882,9
153637,2726413,10
153799,5261578,1
153799,4767091,2
153799,2090320,3
153799,1643056,4
153799,4765525,5
153799,5323183,6
153799,5320636,7
153799,6739189,8
153799,4764850,9
153799,1569841,10
153862,213001,1
153862,6689005,2
153862,2091076,3
153862,2090824,4
153862,4781059,5
153862,197899,6
153862,155608,7
153862,2090833,8
153862,2090707,9
153862,1099519,10
153925,6719704,1
153925,3478165,2
153925,1619377,3
153925,395683,4
153925,3695218,5
153925,5226829,6
153925,5285518,7
153925,5225830,8
153925,4764625,9
153925,6665317,10
153943,10654144,1
153943,2939461,2
153943,6682309,3
153943,3852709,4
153943,2103316,5
153943,4760782,6
153943,3471748,7
153943,3481747,8
153943,4779736,9
153943,5288560,10
154105,213073,1
154105,401443,2
154105,4758487,3
154105,253447,4
154105,570760,5
154105,709882,6
154105,4766623,7
154105,92392,8
154105,5228962,9
